glytoucan_acc	glytoucan_type	glycan_mass	glycan_permass	base_composition	composition	topology	monosaccharides
G00034MO	Saccharide	586.22213341	740.39428418	G58001LT	G59848RU	G27304YE	3
G00034WH	Saccharide	990.3275057	1270.6405071	G32030CB	G00803PJ	G72079HR	6
G00035MO	Saccharide	424.16930991	536.29451047	G27391WQ	G94131HY	G86947FH	2
G00036MO	Saccharide	424.16930991	536.29451047	G27391WQ	G94131HY	G68646SF	2
G00037MO	Saccharide	627.248682515	781.420833285	G40740AD	G20174EZ	G35689CT	3
G00038MO	Saccharide	627.248682515	781.420833285	G40740AD	G20174EZ	G60735SE	3
G00039MO	Saccharide	424.16930991	536.29451047	G27391WQ	G58852GK	G23854HB	2
G00040MO	Saccharide	424.16930991	536.29451047	G27391WQ	G58852GK	G43482PE	2
G00041IL	Saccharide	877.317550045	1101.56795117	G85811SG	G11785HS	G41445CB	4
G00041MO	Saccharide	424.16930991	536.29451047	G27391WQ	G94131HY	G86947FH	2
G00042MO	Saccharide	424.16930991	536.29451047	G27391WQ	G94131HY	G68646SF	2
G00043MO	Saccharide	424.16930991	536.29451047	G27391WQ	G58852GK	G23854HB	2
G00044MO	Saccharide	424.16930991	536.29451047	G27391WQ	G58852GK	G43482PE	2
G00045MO	Saccharide	665.237843105	875.472594155	G78388DR	G07300VB	G85046YX	4
G00046MO	Saccharide	342.1162117	454.24141226	G90627TW	G90960QG	G61666PA	2
G00047MO	Saccharide	529.200669675	669.357170375	G54129SE	G02497EU	G22725MK	3
G00048MO	Saccharide	675.258578545	843.446379385	G90353UY	G22979OY	G27653YS	4
G00049MO	Saccharide	707.248407805	903.467508785	G08590QR	G47270FQ	G44029SF	4
G00050MO	Saccharide	853.306316675	1077.5567178	G54630CD	G82935CH	G29900GO	5
G00051MO	Saccharide	529.200669675	669.357170375	G54129SE	G02497EU	G22725MK	3
G00052MO	Saccharide	675.258578545	843.446379385	G90353UY	G22979OY	G27653YS	4
G00053MO	Saccharide	820.29608631	1030.53083736	G42932DS	G58879PQ	G12750SG	4
G00054MO	Saccharide	820.29608631	1030.53083736	G42932DS	G58879PQ	G12750SG	4
G00055MO	Saccharide	383.142760805	495.267961365	G43417UB	G08749AK	G80981NI	2
G00056HH	Saccharide	2151.78227759	2670.36133019	G44211QA	G15715XI	G10328BW	12
G00056MO	Saccharide	383.142760805	495.267961365	G43417UB	G08749AK	G80981NI	2
G00057LF	Composition	1931.68758926	2408.21969164	G15175QG	G00057LF		10
G00057MO	Saccharide	424.16930991	536.29451047	G27391WQ	G94131HY	G31801IX	2
G00058MO	Saccharide	748.27495691	944.49405789	G65171UV	G83574AW	G72872SQ	4
G00058XR	BaseComposition	625.152398895	765.308899595	G00058XR			3
G00059MO	Saccharide	504.1690352	658.34118597	G39365VM	G09269CO	G78242EN	3
G00060BT	Saccharide	869.301231305	1107.56728249	G15666IG	G13628FE	G60795RI	5
G00060MO	Saccharide	869.301231305	1107.56728249	G15666IG	G47397QL	G09947IM	5
G00061MO	Saccharide	707.248407805	903.467508785	G08590QR	G53509NM	G81647RY	4
G00062MO	Saccharide	1039.37037354	1305.66772487	G49139YY	G83604ZB	G11535IP	5
G00063MO	Saccharide	1168.41296668	1462.74161815	G10057RC	G03476LE	G31008GE	5
G00064MO	Saccharide	910.32778041	1148.5938316	G28681TP	G17387JZ	G89203PY	5
G00065MO	Saccharide	674.23817744	856.44162835	G22312GP	G37772BP	G90852NI	3
G00066MO	Saccharide	529.200669675	669.357170375	G54129SE	G30886AB	G11863LK	3
G00066WY	Composition	910.32778041	1148.5938316	G28681TP	G00066WY		5
G00067MO	Saccharide	488.17412057	628.33062127	G89864HJ	G09551MC	G49295JM	3
G00068MO	Saccharide	326.12129707	424.23084756	G08453HV	G53862OE	G44794CK	2
G00069MO	Saccharide	707.248407805	903.467508785	G08590QR	G47270FQ	G97048GO	4
G00070MO	Saccharide	707.248407805	903.467508785	G08590QR	G47270FQ	G97048GO	4
G00071MO	Saccharide	707.248407805	903.467508785	G08590QR	G53509NM	G07227QC	4
G00072MO	Saccharide	707.248407805	903.467508785	G08590QR	G53509NM	G15216HY	4
G00076PK	Saccharide	545.195584305	699.367735075	G52963ZW	G22331NZ	G24735SG	3
G00082CQ	BaseComposition	648.17490849	830.3783594	G00082CQ			4
G00087BY	Composition	2198.72886182	2689.27661427	G21331WE	G00087BY		11
G00089VH	Saccharide	2019.70363329	2524.2670358	G75764QI	G43275VO	G33365UE	10
G00090SL	Saccharide	344.13186177	470.2727124		G19829NV	G95084EB	2
G00091RT	Saccharide	828.2746822	1066.54073339	G84322TE	G87830MO	G75449PM	5
G00094SE	Saccharide	1300.49161099	1608.83591253	G60060GI	G40547YM	G15654DH	7
G00097DN	Saccharide	312.105647	410.21519749	G25325JY	G71058CB	G38979OV	2
G00105XF	Topology	1931.68758926	2408.21969164	G15175QG	G91360AG	G00105XF	10
G00106LE	Topology	900.2529009	1096.47200188	G73357FZ	G98044QF	G00106LE	4
G00106LK	Topology	1322.40656074	1616.73521221	G40550UI		G00106LK	6
G00109SL	Composition	1265.38509701	1545.6980984	G29415RU	G00109SL		6
G00112IO	Saccharide	1521.5815483	1900.00410019		G98829XK	G93493GN	8
G00116QX	Composition	1170.42861675	1478.77291829		G00116QX		5
G00120OY	Topology	2443.89809534	3018.53974821	G41126SR		G00120OY	14
G00120QS	Saccharide	748.27495691	944.49405789	G65171UV	G13934DF	G86427WL	4
G00123JF	Saccharide	150.0528235	206.11542378	G47957HH	G75592IR	G04960UI	1
G00133UK	Saccharide	649.206542965	845.425643945	G30664IS	G25815GV	G84777RK	3
G00140XB	Saccharide	342.1162117	454.24141226	G90627TW	G91902ZT	G15765GX	2
G00140YZ	Saccharide	896.34851585	1134.61456704		G42231PV	G88938QF	5
G00141ZD	Saccharide	504.1690352	658.34118597	G39365VM	G86570NJ	G03830VF	3
G00152LK	Saccharide	990.3275057	1270.6405071	G32030CB	G00803PJ	G64642ML	6
G00153LJ	Saccharide	504.1690352	658.34118597	G39365VM	G89489JX	G68750IZ	3
G00155YT	Saccharide	2442.87769423	3031.53499717	G17168EK	G44930VK	G22876EV	13
G00157WT	Saccharide	2020.72403439	2511.27178684	G97357RI	G13891WJ	G05982NK	11
G00167VE	Saccharide	2192.8088267	2711.38787929	G69364JQ	G02253SS	G66968GR	12
G00171RJ	Saccharide	3025.0685275	3753.88233114	G13300LP	G02830TY	G57709XI	15
G00175GT	Saccharide	748.27495691	944.49405789	G65171UV	G83574AW	G76990YK	4
G00176HZ	Saccharide	1868.7031797	2303.18833187	G55382TU	G76945EC	G52953WI	10
G00185NL	Composition	1932.70799036	2395.22444267	G60923RB	G00185NL		11
G00186OS	Saccharide	1948.70290499	2425.23500737	G09197ZW	G96870OT	G77828QM	11
G00194GV	BaseComposition	367.147846175	465.257396665	G00194GV			2
G00194ZL	Saccharide	406.04172615	490.13562657	G18081CC	G47973RQ	G89518IN	2
G00199JR	Saccharide	869.301231305	1107.56728249	G15666IG	G13628FE	G38100RQ	5
G00204EX	Composition	1437.51280002	1801.91970183	G43649RD	G00204EX		8
G00207YQ	Topology	1802.64499612	2251.14579836	G60993MN	G60742LQ	G00207YQ	10
G00211WY	Saccharide	2239.79832162	2786.40867436	G92357TM	G39456KE		12
G00212ZT	Saccharide	1355.45970181	1719.86660362	G85945LZ	G54095ZD	G46861ZO	8
G00219DO	Saccharide	1827.6766306	2262.16178277	G68318VE	G86996BA	G53113PI	10
G00219VH	Saccharide	424.16930991	536.29451047	G27391WQ	G94131HY	G86947FH	2
G00221CZ	Saccharide	2208.80374133	2741.39844399	G61433XJ	G15971GJ	G51858NL	12
G00227RN	Saccharide	3025.0685275	3753.88233114	G13300LP	G28352HT	G01972UA	15
G00229TF	BaseComposition	896.34851585	1134.61456704	G00229TF			5
G00229VQ	BaseComposition	953.369979585	1205.65168084	G00229VQ			5
G00230CO	Saccharide	2028.61680888	2435.07066091	G71640LP	G37384PG	G39484PO	10
G00230IL	Topology	1699.65443856	2106.1082906		G18517UV	G00230IL	10
G00231IQ	Saccharide	2280.82487073	2827.43522346	G81088WT	G41185ZB	G98098ZY	12
G00231WL	Saccharide	3470.15753819	4269.04959219	G87008YB	G61737PU	G73453VT	17
G00232ED	BaseComposition	2052.67095295	2515.18740526	G00232ED			10
G00235HI	Topology	2296.81978536	2857.44578816	G52478RN	G40926MX	G00235HI	12
G00247JV	Saccharide	1882.64472141	2373.19247386	G80920RR	G22428GQ	G49504RV	11
G00247PL	Saccharide	1786.65008149	2221.13523366	G83555HU	G76605ZF	G49086NE	10
G00249IY	Saccharide	1932.70799036	2395.22444267	G60923RB	G81910EG	G06874SI	11
G00249XF	Saccharide	1031.31114411	1255.56154522	G22172OT	G49987DU	G12772KY	5
G00249XR	Composition	2135.78736296	2640.35076549	G29651HS	G00249XR		12
G00257UQ	Topology	1558.49616371	1922.90306553		G83482GN	G00257UQ	7
G00258QK	Topology	1218.43851278	1526.78281432	G82364UA	G04727QI	G00258QK	7
G00272VU	Saccharide	1405.52297075	1741.89857243	G28997IA	G40354OA	G76336SS	8
G00273SJ	Composition	2224.8238081	2743.40286069	G05933EN	G00273SJ		13
G00277SO	Topology	1243.47014726	1537.79879873	G61099GA	G06194QO	G00277SO	7
G00279YF	Saccharide	1722.64527083	2129.09912286	G83633GK	G83390KL	G09082RG	9
G00281HB	Saccharide	1599.56562351	2006.01947554	G42362XD	G55719HL	G95951LZ	9
G00283TT	Saccharide	513.205755045	639.346605675	G01666TL	G33082XF	G53026JC	3
G00284SJ	Topology	1234.43342741	1556.79337902	G02815KT	G46969RI	G00284SJ	7
G00287UD	Saccharide	1521.5815483	1900.00410019		G30213GE	G80569XM	8
G00288QM	Topology	1072.38060391	1352.69360531	G92050GC	G38754EC	G00288QM	6
G00288RP	Saccharide	1202.44359815	1496.77224962	G21726WW	G34407JR		7
G00293HN	Topology	180.0633882	250.14163855	G81399MY	G27539FC	G00293HN	1
G00294BL	Saccharide	693.269143245	889.488244225		G97732UQ	G02807LM	4
G00294TN	Saccharide	691.253493175	873.456944085	G43094UN	G03577SC	G18750NX	4
G00298HY	Saccharide	586.22213341	740.39428418	G58001LT	G92411CL	G77956CJ	3
G00304VG	Saccharide	513.009439775	611.118990265	G31134CV	G79804LR	G98137OB	2
G00306VT	Saccharide	488.17412057	628.33062127	G89864HJ	G09551MC	G15033VO	3
G00311MF	Topology	545.195584305	699.367735075	G52963ZW	G75641SG	G00311MF	3
G00313OR	BaseComposition	1033.36970488	1327.69835634	G00313OR			6
G00318AV	Saccharide	2368.84091476	2943.48256763	G42039FI	G83385WA	G69616RY	12
G00318GT	BaseComposition	3244.14281473	4029.01921866	G00318GT			16
G00320ZP	Saccharide	2513.87842253	3130.56702561	G84044GC	G88057TN	G72179WW	12
G00325UK	Saccharide	2978.07903257	3678.86153608	G01605NF	G23895DA	G99202NV	15
G00328CG	Saccharide	2513.87842253	3130.56702561	G84044GC	G88057TN	G13710XN	12
G00328HB	Saccharide	1234.43342741	1556.79337902	G02815KT	G89929IA	G12149HM	7
G00331XG	Topology	2315.85075117	2890.49240404		G99168JE	G00331XG	13
G00335DM	Saccharide	1396.48625091	1760.89315273	G41247ZX	G28830ZA	G87354OO	8
G00335JE	Saccharide	1055.36528817	1335.67828958	G48712FQ	G13771ME	G96349IQ	5
G00335TI	Topology	1113.40715301	1393.72015442	G57317CE		G00335TI	6
G00336XG	Topology	1437.51280002	1801.91970183	G43649RD	G20034JD	G00336XG	8
G00338CG	Composition	691.217107665	873.420558575	G11169GF	G00338CG		3
G00349CA	Saccharide	2005.72436873	2496.27212117	G60033FS	G01291QB	G53664NP	11
G00361YF	Saccharide	1722.64527083	2129.09912286	G83633GK	G30306AR	G20045DK	9
G00362UY	Saccharide	367.147846175	465.257396665	G00194GV	G34329HY	G72745TM	2
G00370EI	Saccharide	1160.39664794	1468.74094948	G71529UW	G27287UI	G64433JO	6
G00371DJ	Saccharide	732.28004228	914.48349319	G94583DZ	G61985YC	G38215XX	4
G00376RB	Saccharide	1553.5965297	1932.01908159		G46103VI	G48474NX	9
G00379PJ	Topology	1039.37037354	1305.66772487	G49139YY	G49520SO	G00379PJ	5
G00381YD	Topology	1398.50190098	1776.92445287		G98643XP	G00381YD	8
G00383KP	Saccharide	1218.43851278	1526.78281432	G82364UA	G04727QI	G00258QK	7
G00383YF	Saccharide	2046.75091783	2537.29867028	G54576ER	G19504QQ	G06302GP	11
G00386WN	Topology	555.020004475	639.113904895	G44435OT	G81651WA	G00386WN	2
G00390GQ	BaseComposition	1330.46579018	1666.84139186	G00390GQ			6
G00394CR	Saccharide	1364.49642165	1700.87202333	G38769OU	G28687ME	G23351CY	8
G00395FS	Saccharide	504.1690352	658.34118597	G39365VM	G72116MB	G63977XF	3
G00395TQ	Saccharide	894.33286578	1118.5832669	G93579XB	G12641NB	G19483CU	5
G00396DP	Topology	1218.43851278	1526.78281432	G82364UA	G32116PG	G00396DP	7
G00396IE	Saccharide	1786.65008149	2221.13523366	G83555HU	G01924ZE	G27658AJ	10
G00399LG	Saccharide	424.16930991	536.29451047	G27391WQ	G94131HY	G31801IX	2
G00401IE	Topology	504.1690352	658.34118597	G39365VM	G89489JX	G00401IE	3
G00406II	BaseComposition	1218.43851278	1526.78281432	G00406II			7
G00407UJ	Saccharide	707.248407805	903.467508785	G08590QR	G53509NM	G77186TD	4
G00412SV	Saccharide	1594.58669329	1973.00924518	G81920JR	G74396AN	G66732FU	9
G00413UF	Saccharide	2587.915202	3218.61945515	G34447YB	G60942FK	G77329AN	13
G00420UH	Composition	2378.87288357	2939.49888637	G50576VG	G00420UH		12
G00423RQ	Saccharide	1091.99642958	1246.16858035	G17280KL	G56120UZ	G30841DH	4
G00423TL	Saccharide	666.178948	806.3354487	G32406CO	G33589DL	G39258JD	3
G00428HK	Saccharide	1366.51207172	1716.90332347		G55178OM	G80362CW	8
G00430ZK	Saccharide	1841.65589516	2290.1566974	G64726EB	G88117JW	G65268SY	9
G00432WV	Saccharide	2151.78227759	2670.36133019	G44211QA	G15715XI	G03799FY	12
G00433KW	Saccharide	1558.53907441	1964.99292644	G31852PQ	G53642AM	G15806UI	9
G00433UK	Composition	3480.23241771	4321.1714219	G47099JP	G00433UK		18
G00435KX	Saccharide	691.253493175	873.456944085	G43094UN	G03577SC	G91698GT	4
G00438EF	Saccharide	2637.9407481	3282.66065131	G16462LS	G61378AC	G07927YP	15
G00449DS	Composition	2093.74041275	2612.31946535	G91897BH	G00449DS		11
G00450EO	Topology	2079.76114819	2598.34020078		G51464JJ	G00450EO	11
G00451UT	Saccharide	3681.29614024	4564.28209465	G08182IE	G96816KA	G58170TE	18
G00454PR	Saccharide	342.1162117	454.24141226	G90627TW	G45116DB	G14967ME	2
G00457KD	Saccharide	513.205755045	639.346605675	G44607JV	G68438GJ	G22568JZ	3
G00458CW	Saccharide	820.29608631	1030.53083736	G42932DS	G58879PQ	G12750SG	4
G00459BD	Composition	2774.99965997	3433.73521326	G90066XJ	G00459BD		14
G00459HM	Saccharide	998.34382444	1264.64117577	G14090IF	G29847FN	G22875VT	5
G00461RR	BaseComposition	1413.45865595	1735.81860755	G00461RR			7
G00461ZN	Saccharide	504.1690352	658.34118597	G39365VM	G72116MB	G63977XF	3
G00463XD	Saccharide	2071.78255231	2548.31465468	G67367OT	G54800IU	G68500FC	11
G00467QU	Saccharide	1058.40133935	1338.71434075		G43523SA	G46817ET	6
G00468KU	Saccharide	1478.53934912	1842.94625094	G72787SB	G32127JA	G18391DN	8
G00468NI	Saccharide	1055.36528817	1335.67828958	G48712FQ	G13771ME		5
G00469BS	Saccharide	1300.49161099	1608.83591253	G60060GI	G21746LS	G50679XJ	7
G00470UO	Saccharide	2071.78255231	2548.31465468	G67367OT	G97684YT	G11275FH	11
G00480KJ	Saccharide	2077.74549812	2582.30890064	G70382FA	G54382UL	G23753FY	11
G00482HJ	Saccharide	709.264057875	919.498808925		G46545JK	G09040YU	4
G00483IX	Saccharide	666.2218587	862.44095968	G90306QO	G65968NT	G93472KA	4
G00487XO	Saccharide	2044.69754491	2577.29224757	G83460ZZ	G91301DM	G27502BJ	12
G00488OU	Topology	2224.8238081	2743.40286069	G05933EN	G22270PZ	G00488OU	13
G00492CQ	Saccharide	1259.46506188	1567.80936342	G80475RE	G09140IH	G40932HD	7
G00503EE	Saccharide	2192.8088267	2711.38787929	G69364JQ	G95640AM	G96510EZ	12
G00504PK	Saccharide	1989.7294541	2466.26155647	G85740DB	G64730RH	G63701SG	11
G00504PZ	Saccharide	1683.6343718	2104.1038739		G58155VH	G69655PI	9
G00506NQ	Saccharide	1348.50150702	1670.86145863	G18081HD	G24583VU	G86524BE	8
G00510MX	Saccharide	990.3275057	1270.6405071	G32030CB	G00803PJ	G66300WN	6
G00511LE	Topology	1722.64527083	2129.09912286	G83633GK	G83390KL	G00511LE	9
G00514XC	Saccharide	4046.42833634	5013.50819118	G22870HL	G55455VT	G73529JB	20
G00520NI	Saccharide	2683.94756477	3328.66746799	G54327SO	G26044CJ	G83344UL	12
G00523PT	Topology	937.375064955	1175.64111614		G32286UR	G00523PT	5
G00523YW	Saccharide	3318.1795942	4117.07164819	G12942NE	G24315MJ	G73817KF	17
G00527ZE	Topology	748.27495691	944.49405789	G65171UV	G13934DF	G00527ZE	4
G00531DC	Topology	1160.39664794	1468.74094948	G71529UW	G89179XK	G00531DC	6
G00531ZU	Saccharide	2280.82487073	2827.43522346	G81088WT	G57106ZI	G99663MH	12
G00536FZ	Saccharide	2192.8088267	2711.38787929	G69364JQ	G95640AM	G96510EZ	12
G00542QA	Topology	1097.41223838	1363.70958971	G02809YH	G23960RZ	G00542QA	6
G00544JF	Saccharide	1640.59217262	2047.04602465	G68990JR	G73811LP	G23934NS	9
G00545NQ	Saccharide	1989.7294541	2466.26155647	G85740DB	G64730RH	G56675VL	11
G00547ZN	Saccharide	666.178948	806.3354487	G32406CO	G10714EP	G81895EG	3
G00551JZ	Saccharide	2151.78227759	2670.36133019	G44211QA	G15715XI	G10328BW	12
G00552RX	Saccharide	2000.67266748	2505.23607			G53443MF	8
G00553AN	Saccharide	2733.97311086	3392.70866415	G25569EP	G58076ER		14
G00557UC	Topology	422.07302629	520.18257678	G59365RI	G59271KV	G00557UC	2
G00558IW	Saccharide	748.27495691	944.49405789	G65171UV	G51934ND	G60356JP	4
G00560KG	Saccharide	1772.67081693	2207.1559691		G59437VP	G87772NA	10
G00565QJ	Saccharide	1316.48652562	1638.84647723	G96743ZH	G15843XU	G69008IB	7
G00568LN	Saccharide	830.32805512	1026.5471561	G84435MS	G11427SW	G57309FD	4
G00580CJ	BaseComposition	3375.22621008	4160.102614	G00580CJ			18
G00582VL	Saccharide	1866.60689608	2287.07639818	G63236GA	G34574WR	G46539GP	10
G00586TU	Topology	2331.88338865	2864.4780913	G31028YV	G83975FN	G00586TU	12
G00586UK	Saccharide	990.3275057	1270.6405071	G32030CB	G00803PJ	G20574UF	6
G00588HO	Saccharide	2044.69754491	2577.29224757	G83460ZZ			12
G00591PZ	Saccharide	2151.78227759	2670.36133019	G44211QA	G55963SC	G11832MD	12
G00594AV	Saccharide	4180.52263073	5161.61813563	G39258LN	G03176RC	G19793MN	23
G00594CD	Saccharide	910.32778041	1148.5938316	G28681TP	G28326HR	G89291WX	5
G00598SQ	Saccharide	2425.8623785	3014.51968144	G92821OG	G73510JF	G13485VB	12
G00601UG	Saccharide	1654.57143718	2075.04093928	G89773UM	G03031PQ	G51932GA	8
G00601VC	Saccharide	1072.38060391	1352.69360531	G92050GC	G86052EW	G58858DY	6
G00606LX	Saccharide	3101.14610918	3815.94426275	G78811TO	G72093CP	G26997WR	18
G00619DD	Saccharide	504.1690352	658.34118597	G39365VM	G39466FU	G65947ME	3
G00628MV	Composition	1259.46506188	1567.80936342	G80475RE	G00628MV		7
G00629YK	Saccharide	1396.48625091	1760.89315273	G41247ZX	G28830ZA	G50264UK	8
G00631XZ	Saccharide	910.32778041	1148.5938316	G28681TP	G28326HR	G89291WX	5
G00633GI	Saccharide	1802.64499612	2251.14579836	G60993MN	G99872BC	G61431CZ	10
G00633PX	Topology	3057.05835676	3813.90346054	G58006LW	G10033OC	G00633PX	15
G00641XC	Topology	959.290014705	1183.54041583		G03042EN	G00641XC	4
G00644ZZ	Saccharide	2044.69754491	2577.29224757	G83460ZZ	G91301DM	G27502BJ	12
G00646SN	Saccharide	2881.0262687	3595.82442227		G78221KA	G25467PR	14
G00647RA	Saccharide	1322.44947144	1672.84072319	G94495KV	G08053IV	G29530DJ	7
G00650AC	Saccharide	2094.76081386	2599.32421638	G16175ZV	G76776CG		12
G00653TI	Saccharide	1464.56008456	1828.96698638		G79157DT	G71403JN	8
G00657YY	Topology	750.29060698	960.52535803		G24972VM	G00657YY	4
G00659GQ	Saccharide	980.20971549	1162.4131664	G20710WH	G88370GO	G59594TK	4
G00662IB	Saccharide	2879.01061863	3579.79312213	G98715EM	G58318SA	G26085RC	14
G00662UH	Saccharide	2733.97311086	3392.70866415	G25569EP	G58076ER	G15212GE	14
G00665JQ	Composition	2572.94068847	3175.61364148	G88218MF	G00665JQ		14
G00666EC	Saccharide	3520.26371785	4347.18707197	G56974XT	G94295ZU	G59373MO	18
G00667RI	Saccharide	1152.3803292	1474.74028081	G55913GS	G01190ZZ	G18635IL	7
G00670OT	Saccharide	1843.67154523	2292.17234747	G65184UU	G31831PV	G69758RM	10
G00672PE	Saccharide	900.2529009	1096.47200188	G73357FZ	G98044QF	G32987YD	4
G00673KJ	Saccharide	1541.52375867	1947.9776107	G40141FM	G86703IP	G33940EI	8
G00674TY	Saccharide	545.195584305	699.367735075	G52963ZW	G06708ZY	G81295UA	3
G00675GF	Saccharide	2078.76589923	2569.31365168	G87051GH	G36202LB	G99388YO	12
G00682IE	Saccharide	383.142760805	495.267961365				2
G00688TE	Saccharide	433.052625185	545.177825745	G26773ZT	G52925VL	G91902CD	2
G00688XN	Saccharide	1948.70290499	2425.23500737	G09197ZW	G88366NM		11
G00691LW	Saccharide	326.12129707	424.23084756	G08453HV	G53862OE	G44794CK	2
G00691NS	Saccharide	2882.0466698	3568.81352324	G55216FT	G81452FP	G04248AK	16
G00692HC	Topology	1667.63945717	2074.0933092		G65333DX	G00692HC	9
G00695FC	Composition	2135.78736296	2640.35076549	G29651HS	G00695FC		12
G00695JO	Saccharide	1665.6238071	2058.06200906	G88725PI	G75496QY	G63462YW	9
G00702NP	Saccharide	1396.48625091	1760.89315273	G41247ZX	G28830ZA	G64780OA	8
G00705GA	Saccharide	880.31721571	1104.56761683	G18999EB	G66541DL	G01747AF	5
G00705XW	Saccharide	1136.21895962	1332.4380606			G29574CC	5
G00706AL	Saccharide	2881.0262687	3595.82442227		G78221KA	G25467PR	14
G00706QN	Saccharide	1405.52297075	1741.89857243	G28997IA	G77714BM	G37585UQ	8
G00709CF	Saccharide	2321.85141983	2868.46177257	G09019XB	G23890JZ	G95210RX	12
G00709ZM	Saccharide	342.1162117	454.24141226	G90627TW	G45116DB	G64014BL	2
G00711NG	Saccharide	828.2746822	1066.54073339	G84322TE	G87830MO	G86447ZX	5
G00711QT	Saccharide	475.063189885	573.172740375	G66706SL	G75731FY	G06333MO	2
G00717KJ	Topology	1601.58127358	2022.05077568		G72881ZX	G00717KJ	9
G00727XI	Saccharide	416.15299117			G96057YM	G62018OZ	3
G00728IS	Composition	1189.22516474	1469.53816614		G00728IS		6
G00728SN	Saccharide	1841.65589516	2290.1566974	G64726EB	G88117JW	G65268SY	9
G00729SA	Saccharide	1446.54951986	1782.92512154	G64876LY	G40407UW	G11104AQ	8
G00736XN	Saccharide	990.3275057	1270.6405071	G32030CB	G00803PJ	G64642ML	6
G00736YF	Topology	2032.77165327	2523.31940572		G54039MY	G00736YF	11
G00738BQ	Saccharide	2239.79832162	2786.40867436	G92357TM	G39456KE	G35622MN	12
G00741NZ	Saccharide	1761.61844701	2210.11924926	G75469AV	G52287BM	G33006JZ	10
G00743WU	Saccharide	2159.79859633	2664.36199885	G12621YH	G56450GE	G76497KR	11
G00745GK	Topology	789.301506015	985.520606995	G88713AC	G71743JP	G00745GK	4
G00747UC	Saccharide	2370.85656483	2945.4982177	G88633YS	G57860PF	G19124GC	13
G00754TS	Saccharide	1120.34758924	1358.61364043	G44799CV	G37317GI	G32546KU	6
G00760ZJ	Saccharide	504.1690352	658.34118597	G39365VM	G72116MB	G47720CJ	3
G00761OX	Saccharide	666.2218587	862.44095968	G90306QO	G88288TV	G93921SI	4
G00761TV	Topology	869.301231305	1107.56728249	G15666IG		G00761TV	5
G00763JM	Topology	1868.7031797	2303.18833187	G55382TU		G00763JM	10
G00774OZ	Topology	1363.47602054	1713.86727229	G04371QE	G75178ER	G00774OZ	7
G00774WE	Topology	1478.53934912	1842.94625094	G72787SB		G00774WE	8
G00776MW	Composition	3826.333648	4751.36655263	G31097SD	G00776MW		18
G00783PW	Topology	2030.7560032	2507.28810558	G56610MH	G52494WI	G00783PW	11
G00784PW	Composition	1316.48652562	1638.84647723	G96743ZH	G00784PW		7
